area_m2,quartos,vagas_garagem,idade_anos,bairro,preco
51.5,4,0,39,Praia,326798.78
174.9,5,2,37,Centro,833640.73
235.6,1,1,15,Industrial,712580.43
230.0,1,2,3,Industrial,733790.2
161.6,5,3,16,Industrial,552768.93
61.4,5,2,17,Serra,346337.56
39.5,1,1,0,Serra,182435.57
193.6,3,2,24,Serra,733513.24
158.8,3,3,17,Praia,988017.36
225.8,2,2,25,Serra,891530.84
48.3,2,1,18,Centro,237916.85
298.1,4,3,12,Industrial,975824.37
304.9,1,0,27,Industrial,863449.71
171.0,2,2,35,Praia,913113.62
267.6,3,0,3,Industrial,905058.6
44.8,5,2,6,Serra,291643.81
151.0,2,1,24,Industrial,453886.13
241.2,1,3,6,Praia,1362879.67
195.3,1,2,6,Centro,889392.51
112.4,2,0,9,Centro,512492.68
249.2,2,2,11,Praia,1444291.95
301.5,3,3,39,Serra,1156275.93
109.3,1,0,12,Praia,538402.43
254.6,5,0,30,Praia,1464437.75
292.7,3,3,18,Centro,1409939.56
119.5,4,0,15,Centro,610054.88
171.4,3,1,35,Praia,895454.68
252.6,1,1,30,Industrial,766196.38
159.2,2,1,17,Centro,736700.64
294.0,4,2,6,Industrial,941888.73
60.1,3,1,18,Serra,264134.45
262.9,3,3,25,Praia,1446396.62
298.4,4,0,2,Praia,1729775.61
46.6,4,0,6,Centro,310478.57
181.7,3,1,20,Centro,882316.28
169.6,1,0,24,Centro,727705.8
61.6,5,1,2,Praia,504676.34
46.6,1,3,5,Praia,334675.88
78.2,2,1,29,Praia,438013.26
287.3,4,0,2,Serra,1142676.1
38.6,1,2,19,Praia,196986.34
303.9,4,1,0,Serra,1201146.1
213.7,2,3,30,Industrial,667665.36
230.8,5,1,27,Centro,1099703.7
219.8,4,1,12,Industrial,732507.22
245.4,3,1,2,Praia,1444740.48
208.9,1,3,27,Praia,1152028.64
92.4,1,1,11,Serra,373637.46
293.4,5,1,28,Industrial,946090.05
264.5,3,2,35,Serra,1065809.49
133.0,1,0,11,Centro,572901.36
129.6,2,3,33,Serra,513153.05
127.3,4,3,30,Serra,587048.77
290.2,4,2,32,Industrial,973001.21
151.6,1,1,27,Industrial,498820.96
227.3,3,3,22,Praia,1308239.16
55.4,2,2,37,Serra,214312.73
125.0,5,0,38,Industrial,485693.4
258.5,5,1,25,Serra,1059941.45
219.9,3,0,33,Praia,1198268.17
102.5,5,2,23,Serra,512885.86
285.7,5,1,22,Centro,1381846.19
70.1,1,3,8,Praia,449402.17
214.9,2,1,23,Centro,969116.29
258.6,3,0,32,Praia,1437677.2
317.1,5,3,30,Centro,1523601.78
78.3,5,1,22,Centro,405004.77
159.4,2,3,8,Industrial,525490.1
228.3,2,2,21,Centro,1059861.19
196.1,4,0,35,Serra,783997.52
189.8,3,0,15,Industrial,593438.84
158.0,3,1,11,Industrial,525078.83
267.2,2,3,39,Centro,1179554.26
195.8,5,1,27,Industrial,683820.01
82.6,4,1,3,Praia,572214.57
142.6,2,0,35,Centro,591393.17
230.0,4,1,25,Serra,920782.75
309.1,4,3,11,Serra,1193153.45
258.1,4,1,39,Praia,1427606.61
317.9,2,3,8,Serra,1308738.96
246.0,1,2,39,Industrial,748998.46
220.1,5,1,7,Industrial,769724.22
295.6,4,3,35,Praia,1670207.24
220.8,1,2,10,Praia,1201550.82
263.7,4,2,1,Industrial,906593.26
167.2,1,3,21,Industrial,499633.67
315.6,3,2,27,Centro,1463463.26
151.3,5,0,0,Praia,969909.33
57.6,3,0,30,Centro,268608.22
167.5,5,0,25,Centro,796580.16
279.9,2,0,9,Centro,1262837.68
167.7,1,1,4,Industrial,479655.29
216.9,4,1,2,Praia,1324617.94
205.6,5,2,25,Serra,833581.65
200.2,4,1,7,Praia,1209459.61
278.3,1,0,30,Praia,1448610.06
162.7,1,0,7,Centro,752335.18
279.7,2,1,31,Centro,1214813.49
158.1,5,2,36,Serra,691731.95
308.7,3,0,2,Serra,1197040.7
146.9,4,2,6,Praia,905222.24
60.9,1,3,39,Serra,252977.11
165.4,1,3,18,Praia,927087.0
208.5,3,3,3,Praia,1220181.09
93.4,2,3,11,Serra,445621.83
229.6,5,2,24,Industrial,742294.26
73.5,2,0,1,Industrial,303060.76
42.2,3,2,35,Praia,247765.73
217.9,5,2,30,Centro,1074764.11
251.4,2,3,15,Centro,1163975.47
253.4,5,0,17,Praia,1415631.11
151.5,1,1,20,Industrial,461044.91
96.3,3,2,35,Serra,388462.65
172.3,5,0,15,Praia,1027049.21
184.8,1,3,36,Industrial,607655.43
119.6,4,0,25,Industrial,408070.83
157.1,3,3,19,Serra,695217.56
133.2,2,1,37,Centro,552262.4
206.9,3,0,36,Centro,914713.69
177.1,4,1,20,Industrial,589820.52
159.1,5,3,33,Praia,1006729.08
89.3,1,3,0,Praia,603536.0
161.7,2,2,31,Centro,745406.5
155.0,2,1,36,Serra,533653.66
170.1,2,2,0,Praia,984619.8
238.3,4,1,28,Praia,1283781.91
137.0,5,2,39,Serra,571353.18
133.9,2,1,4,Serra,534992.62
305.2,3,1,31,Industrial,950299.48
170.5,5,1,30,Praia,1010664.06
277.0,2,1,35,Serra,1048629.32
222.0,5,1,14,Serra,974863.64
101.4,4,2,16,Serra,460796.8
148.5,2,1,29,Serra,594099.78
227.1,5,0,2,Centro,1127518.93
133.9,2,3,36,Centro,630799.43
317.9,1,1,2,Serra,1302491.14
201.3,3,1,31,Industrial,660658.66
244.2,2,0,33,Centro,1107993.55
60.3,4,2,27,Industrial,217990.87
216.7,3,0,33,Industrial,665804.07
304.4,1,1,20,Industrial,960440.33
204.0,3,2,25,Industrial,665154.01
217.0,3,2,16,Serra,905066.74
181.9,5,1,18,Industrial,610381.16
203.4,2,3,35,Praia,1130423.66
192.3,4,1,3,Centro,1003891.43
209.8,3,0,13,Centro,973733.87
93.2,5,2,20,Serra,471268.97
242.4,3,0,1,Centro,1033915.77
98.3,3,1,34,Praia,588586.63
107.3,4,1,38,Praia,676424.91
208.1,2,0,16,Praia,1165077.66
91.8,4,0,12,Centro,470471.98
175.3,2,2,7,Praia,1074511.19
171.0,2,0,5,Serra,679460.02
113.8,3,1,36,Centro,517676.37
127.3,3,3,37,Industrial,409004.03
141.8,4,0,15,Serra,602053.69
191.4,5,1,6,Industrial,691432.8
77.0,3,1,37,Centro,380669.35
240.0,4,0,31,Centro,1108276.38
67.7,5,0,39,Praia,482831.41
312.2,1,2,2,Industrial,960604.85
73.1,1,0,8,Centro,298631.08
143.3,3,0,15,Centro,672805.18
309.8,3,3,8,Praia,1764292.39
87.3,3,2,23,Praia,521811.26
172.9,3,1,28,Serra,645817.78
223.2,4,0,20,Industrial,698232.48
255.7,4,3,13,Serra,1079855.3
130.7,3,2,6,Industrial,474311.12
210.4,3,0,16,Praia,1170681.33
180.9,3,0,17,Serra,753520.75
295.8,1,3,8,Industrial,962338.85
60.7,2,1,28,Industrial,202018.05
175.4,4,3,16,Serra,763999.51
233.6,5,0,7,Serra,1003868.1
162.4,1,0,34,Centro,701967.25
284.6,4,3,24,Praia,1651074.52
216.1,4,1,17,Serra,911912.71
271.1,3,2,26,Centro,1255116.06
132.8,5,0,26,Serra,574264.98
114.3,5,1,22,Serra,551597.66
228.0,3,3,3,Centro,1127196.43
158.8,3,2,26,Serra,642704.03
186.3,2,1,10,Centro,814146.01
47.4,3,2,37,Serra,210198.48
145.7,4,2,23,Industrial,545240.5
144.2,2,0,16,Serra,517142.02
309.5,5,2,21,Centro,1444483.68
196.0,1,2,20,Industrial,629232.93
172.8,1,0,5,Praia,923824.75
186.4,5,3,23,Serra,790074.9
92.0,5,3,6,Praia,736713.13
41.4,4,0,13,Centro,255099.42
242.4,2,2,19,Industrial,790052.64
153.5,5,0,36,Serra,592506.69
112.6,4,3,12,Centro,591204.9
200.2,4,2,9,Industrial,729353.19
274.4,5,2,12,Praia,1631795.68
205.3,4,3,11,Centro,1027526.46
312.0,5,0,16,Praia,1710473.43
182.6,2,0,10,Centro,865981.97
74.7,2,3,25,Industrial,297938.88
136.7,5,1,39,Centro,677154.15
189.6,2,1,30,Industrial,555269.51
192.5,2,3,2,Serra,828766.4
94.9,3,2,37,Industrial,312262.95
169.9,3,0,7,Centro,774959.02
95.1,1,2,11,Praia,554599.56
285.6,1,1,15,Serra,1055245.92
304.1,5,3,2,Centro,1538035.1
248.0,5,2,35,Serra,1041206.56
274.8,1,3,17,Serra,1095051.28
204.6,4,3,25,Centro,965936.57
131.4,2,0,27,Centro,572014.12
68.7,1,2,27,Industrial,193478.57
246.4,5,3,24,Serra,1059365.4
68.5,3,2,39,Industrial,229271.85
148.2,3,3,33,Industrial,482192.0
181.9,3,1,38,Praia,1006654.28
241.5,3,3,34,Praia,1346455.23
308.1,4,2,5,Centro,1500386.04
140.3,4,0,21,Serra,574271.11
41.5,5,3,36,Industrial,184280.87
119.3,1,2,2,Serra,533260.97
78.5,1,0,4,Centro,368301.01
176.0,3,1,27,Praia,1018546.02
176.6,1,0,21,Centro,728128.66
46.6,5,2,10,Serra,238551.55
319.2,3,1,12,Serra,1282446.24
309.5,2,2,39,Industrial,949045.97
270.6,1,3,10,Industrial,821692.03
313.8,5,2,11,Industrial,1068423.48
293.3,2,1,0,Industrial,953328.37
132.3,1,3,23,Industrial,452529.25
176.4,5,0,22,Centro,839975.11
64.6,3,3,24,Praia,449224.05
180.1,3,0,13,Serra,698884.71
72.6,3,3,28,Industrial,298477.86
143.8,2,1,18,Centro,655805.6
218.7,1,2,37,Praia,1163775.71
307.5,3,2,33,Praia,1696425.12
99.5,4,3,3,Praia,714100.76
273.8,2,0,17,Centro,1241453.1
225.0,2,1,38,Praia,1155136.63
242.7,5,0,8,Centro,1191033.21
192.3,2,1,22,Centro,888008.12
45.3,1,0,26,Serra,157240.68
314.7,2,0,32,Praia,1633693.01
174.7,2,1,27,Centro,786822.42
164.6,1,1,12,Industrial,516828.15
51.1,2,3,22,Centro,224281.64
219.1,4,1,1,Serra,916743.46
73.2,4,2,11,Praia,499096.72
256.8,5,3,36,Praia,1517543.14
254.3,1,3,15,Serra,985802.74
257.5,5,2,27,Centro,1248705.12
68.0,3,3,28,Centro,380536.57
217.0,5,0,1,Praia,1307130.66
276.5,5,0,17,Industrial,894495.67
289.3,2,0,22,Serra,1134366.37
39.8,2,3,13,Serra,216705.02
169.4,5,3,14,Centro,921192.03
56.0,3,2,4,Centro,352144.04
244.2,4,0,20,Centro,1122338.79
68.8,5,0,17,Praia,456001.66
192.4,1,3,3,Centro,956255.29
151.7,1,1,3,Serra,619060.05
314.4,1,0,3,Centro,1358039.85
43.7,4,2,25,Serra,268230.47
312.4,1,2,16,Centro,1392043.03
65.9,3,3,39,Industrial,224420.15
87.7,2,1,26,Industrial,285000.33
210.9,3,2,28,Centro,965239.01
43.5,1,1,24,Centro,158680.54
239.1,3,0,24,Centro,1074583.76
58.9,1,1,23,Centro,273393.17
251.0,2,2,0,Serra,1009924.13
233.5,4,1,3,Centro,1123657.67
75.2,4,1,37,Centro,374675.09
61.6,4,2,30,Centro,372897.44
74.7,4,3,20,Industrial,314276.74
310.9,1,0,19,Industrial,963422.51
284.1,4,0,10,Praia,1603634.03
46.6,4,3,19,Industrial,224441.05
133.7,4,1,7,Centro,686721.89
56.4,1,2,23,Praia,297624.1
182.6,1,0,4,Serra,712284.13
113.7,1,0,11,Serra,426166.21
215.6,2,1,15,Praia,1201501.33
121.6,1,2,2,Centro,595946.22
300.6,2,1,15,Praia,1685662.34
298.1,2,2,29,Industrial,901185.13
44.0,4,2,12,Centro,301660.74
136.6,1,3,35,Industrial,373266.4
200.1,5,2,20,Centro,979962.78
211.8,3,1,38,Praia,1136333.8
265.5,5,3,19,Industrial,885372.4
184.3,1,1,3,Serra,746738.05
59.6,1,0,15,Industrial,196295.88
84.4,2,0,12,Centro,413222.87
195.7,3,3,31,Industrial,669577.29
265.7,5,0,16,Serra,1074149.97
228.8,2,1,26,Industrial,689073.63
109.2,3,3,12,Praia,715138.01
216.2,1,2,24,Industrial,693568.95
