idade;renda_mensal;anos_no_emprego;divida_atual;regiao;credito_aprovado
51;8617,71;27;1129,48;Centro-Oeste;sim
45;4313,37;13;3263,6;Nordeste;nao
45;4929,67;22;4153,42;Nordeste;sim
33;6998,78;10;1654,79;Norte;sim
21;5504,11;29;3920,27;Norte;nao
53;5807,84;27;3883,31;Sul;sim
65;8982,45;5;1447,37;Sul;sim
50;6504,54;25;1512,06;Centro-Oeste;sim
33;3380,02;6;1592,69;Sudeste;nao
42;6071,89;27;2656,54;Sul;sim
44;3765,25;27;2163,69;Norte;sim
41;4209,65;6;1123,64;Nordeste;sim
27;6772,28;27;5095,06;Norte;nao
62;4958,01;12;2253,34;Nordeste;sim
39;4306,18;4;3832,65;Centro-Oeste;nao
21;3812,91;9;2211,63;Centro-Oeste;nao
59;5093,74;7;3686,49;Norte;sim
21;4341,76;16;3243,42;Nordeste;nao
32;6585,74;7;3259,6;Sul;nao
39;5197,59;0;3343,84;Nordeste;nao
62;4551,5;18;2017,42;Nordeste;sim
55;10393,79;26;5591,75;Nordeste;sim
51;5408,16;11;2465,78;Centro-Oeste;sim
44;3524,4;23;1687,62;Centro-Oeste;sim
52;2589,64;11;1619,57;Sudeste;sim
64;2785,38;3;2203,54;Sudeste;nao
65;2351,99;27;324,28;Sudeste;sim
58;4655,98;18;1156,9;Nordeste;sim
45;4766,63;0;1676,8;Sudeste;nao
31;5891,16;25;4304,82;Norte;nao
27;2988,41;29;692,45;Sudeste;sim
39;3962,36;2;1939,93;Centro-Oeste;nao
52;3765,47;14;2244,61;Norte;sim
30;7778,3;24;4746,27;Nordeste;nao
52;5062,37;13;883,85;Sul;sim
61;5600,6;5;1486,87;Norte;sim
60;6817,16;25;543,55;Sudeste;sim
38;5221,1;11;4681,32;Norte;nao
27;4700,04;18;3233,31;Sul;nao
64;4028,86;18;2013,47;Sudeste;sim
31;4278,61;18;3397,9;Sudeste;nao
52;4738,57;17;1967,92;Nordeste;sim
66;4380,56;27;2763,63;Norte;sim
67;4389,6;22;343,69;Sudeste;sim
48;8241,41;18;4003,95;Centro-Oeste;sim
40;2407,08;13;851,52;Nordeste;nao
30;1200,0;3;196,89;Sul;nao
57;5489,22;12;3494,68;Centro-Oeste;sim
41;7288,32;7;1000,84;Sudeste;sim
36;4324,76;28;3229,52;Sul;sim
40;6315,35;16;528,57;Nordeste;sim
27;7792,31;26;6983,09;Sul;nao
27;4397,46;16;1936,07;Nordeste;nao
39;5196,85;2;2726,69;Centro-Oeste;nao
50;3336,09;15;572,24;Sudeste;sim
38;3668,69;29;2274,64;Norte;sim
23;4091,06;1;1493,47;Nordeste;nao
36;6137,74;8;4084,48;Nordeste;nao
23;7497,86;1;4105,93;Sudeste;nao
25;6059,94;26;827,42;Sul;sim
33;3264,37;11;906,78;Centro-Oeste;sim
49;3415,74;14;1434,33;Nordeste;sim
39;4162,7;25;267,85;Sul;sim
24;4846,5;8;2364,48;Centro-Oeste;nao
48;5885,1;7;1877,91;Sul;sim
66;2139,92;13;755,87;Sudeste;sim
65;2945,69;6;232,21;Norte;sim
64;8056,17;10;6208,72;Centro-Oeste;sim
32;5687,4;15;1395,47;Sudeste;sim
61;5599,76;23;1512,22;Norte;sim
28;2337,14;22;1996,1;Norte;nao
36;6704,71;20;552,68;Sudeste;sim
27;5839,26;9;2610,87;Nordeste;nao
59;2229,44;2;906,22;Centro-Oeste;nao
24;2644,61;24;336,22;Nordeste;nao
47;6008,34;15;2933,14;Nordeste;sim
28;2499,42;3;914,82;Norte;nao
66;5952,35;0;5159,19;Nordeste;nao
31;3904,05;6;1743,78;Norte;nao
43;6071,68;4;4417,6;Nordeste;nao
67;6519,29;25;639,36;Sudeste;sim
46;8217,18;28;3379,07;Sul;sim
63;1693,2;21;1416,85;Sul;sim
68;2229,14;7;698,63;Centro-Oeste;sim
27;4678,76;7;3872,84;Norte;nao
53;7914,93;9;6198,49;Sudeste;nao
59;5789,37;17;534,23;Nordeste;sim
62;2417,13;6;1432,84;Norte;nao
21;6505,42;9;4788,18;Nordeste;nao
66;4724,83;6;3727,49;Centro-Oeste;nao
53;7185,51;26;3254,65;Centro-Oeste;sim
34;2769,54;23;747,01;Centro-Oeste;sim
36;6533,07;0;2588,77;Sul;sim
34;7361,78;2;6615,34;Nordeste;nao
38;3076,02;12;2064,25;Norte;nao
68;5121,32;26;2329,0;Sudeste;sim
32;5671,1;27;3473,42;Sul;sim
31;5234,79;10;4467,46;Sul;nao
48;3306,93;4;2747,55;Sudeste;nao
55;6699,62;0;1568,01;Centro-Oeste;sim
66;3222,96;25;2682,27;Centro-Oeste;nao
59;5033,1;8;2430,97;Nordeste;sim
61;5765,35;29;2064,92;Nordeste;sim
36;5531,0;2;948,85;Norte;sim
60;5953,38;12;3333,47;Centro-Oeste;sim
53;1593,7;4;977,38;Nordeste;nao
46;1200,0;21;261,81;Sudeste;nao
57;5270,86;14;3385,91;Centro-Oeste;nao
68;5471,35;3;4414,41;Sul;nao
59;7383,05;10;6234,1;Sudeste;nao
62;4442,25;2;2651,44;Norte;nao
63;4557,0;1;1794,15;Nordeste;sim
51;2152,77;14;1919,36;Sul;nao
33;5562,23;17;3425,04;Sul;sim
64;7431,02;28;3875,61;Sudeste;sim
58;4126,8;29;3028,54;Sudeste;sim
25;5684,51;5;2835,93;Centro-Oeste;nao
22;6990,82;28;6089,51;Sul;nao
31;6982,95;4;4460,6;Sudeste;nao
44;6537,95;4;4403,32;Nordeste;nao
65;6701,1;1;1884,2;Norte;sim
58;1200,0;29;725,71;Norte;sim
29;1483,62;25;367,91;Centro-Oeste;nao
51;5518,57;29;4849,5;Sudeste;nao
25;1814,96;28;1268,42;Nordeste;sim
23;6605,91;14;1466,3;Sudeste;sim
40;3814,03;27;475,22;Sul;sim
44;2022,03;28;454,91;Norte;sim
56;6429,56;5;5258,35;Norte;nao
25;3682,93;27;1371,27;Sudeste;sim
50;3080,75;10;756,08;Sudeste;sim
52;6191,78;28;1574,08;Nordeste;sim
47;4447,43;20;2707,08;Centro-Oeste;nao
21;2672,09;23;1832,4;Centro-Oeste;nao
57;2879,92;25;2346,3;Nordeste;sim
26;1879,92;18;1398,66;Centro-Oeste;nao
61;7764,66;28;1161,06;Sudeste;sim
54;7202,02;8;5424,86;Sul;nao
22;4903,33;23;1428,93;Centro-Oeste;sim
43;3585,7;19;2834,93;Nordeste;nao
64;5690,17;24;425,69;Sul;sim
22;4457,29;27;3301,67;Sudeste;nao
50;6235,23;13;3759,36;Sul;sim
24;5951,74;5;1737,46;Nordeste;nao
63;4921,91;20;3113,91;Sul;sim
30;4319,25;20;868,53;Centro-Oeste;sim
45;5904,61;15;3020,03;Centro-Oeste;sim
50;4821,41;9;3317,42;Sudeste;nao
37;1833,63;18;1092,25;Centro-Oeste;nao
35;5328,49;11;336,97;Sudeste;sim
27;8060,29;20;899,41;Norte;sim
66;4148,77;9;383,42;Centro-Oeste;sim
57;5295,61;1;297,47;Nordeste;sim
36;4218,36;9;571,74;Nordeste;sim
26;5325,38;13;3898,66;Nordeste;nao
44;4280,66;15;226,72;Norte;sim
61;9085,28;6;7566,75;Nordeste;nao
61;5665,35;10;3271,31;Nordeste;nao
29;4885,07;8;1069,57;Centro-Oeste;sim
54;5404,21;20;514,17;Nordeste;sim
24;5015,94;11;1891,67;Sul;nao
43;7488,12;14;1899,49;Sudeste;sim
54;3573,51;15;2140,17;Sul;nao
25;3375,2;22;1913,59;Nordeste;sim
46;5835,05;25;3708,46;Nordeste;sim
31;4460,42;1;2886,21;Sul;nao
29;3697,04;27;3037,37;Centro-Oeste;nao
59;1470,63;18;514,2;Norte;sim
22;4803,51;4;4065,17;Centro-Oeste;nao
58;3779,69;1;2542,16;Centro-Oeste;nao
34;6779,51;21;3628,63;Sudeste;sim
57;2871,78;21;215,86;Norte;sim
63;5580,38;29;3156,24;Sudeste;sim
68;4747,42;11;528,86;Nordeste;sim
39;3620,25;25;1673,64;Sudeste;sim
68;7153,61;15;4415,41;Sudeste;sim
58;7480,82;9;5680,55;Centro-Oeste;nao
65;4311,78;21;1685,84;Nordeste;sim
69;4483,85;6;584,23;Sul;sim
66;1200,0;3;694,19;Nordeste;nao
60;6538,11;22;3968,96;Sudeste;sim
39;4608,58;28;2382,82;Sul;sim
69;6981,74;4;5149,94;Norte;nao
64;4119,23;16;1673,33;Norte;sim
44;5898,9;21;2072,1;Centro-Oeste;sim
25;5730,69;0;1259,05;Sul;sim
67;5829,27;23;5198,3;Norte;nao
53;4126,11;12;2169,08;Nordeste;sim
30;3738,29;15;1678,03;Nordeste;nao
30;2885,31;11;196,9;Sudeste;sim
30;5264,57;2;3016,05;Sul;nao
